Name,Age,Occupation,Hometown,Height,ElimWeek,Season,Year,Minority,hi
Danielle Imwalle,25,Graphic Designer,"Bethel, Connecticut",,7,10,,,
Amber Alchalabi,23,Teacher,"Sugar Land, Texas",,6,10,,,
Stephanie Wilhite,23,Project Manager,"Overland Park, Kansas",,5,10,,,
Tina Wu,26,Medical student,"Los Angeles, California",,5,10,,,
Kate Brockhouse,24,Boutique owner,"Ravenel, South Carolina",,4,10,,,
Nicole Clary,26,Sales Manager,"Charleston, SC",,4,10,,,
Stephanie Tipper,27,Organ donor coordinator,"Folly Beach, SC",,4,10,,,
Amanda Hackney,26,Financial analyst,"Dallas, TX",,3,10,,,
Erin Parker,24,Financial analyst,"Logansport, LA",,3,10,,,
Peyton Wright,24,Sorority recruiter,"La Vergne, Tennessee",,3,10,,,
Alexis Young,26,Attorney,"Southlake, TX",,2,10,,,
Susan Anderson,23,Boutique manager,"The Woodlands, TX",,2,10,,,
Tiffany Warren,28,Medical equipment sales rep,"Boston, MA",,2,10,,,
Blakeney Rowe,29,Radio sales,"Birmingham, AL",,1,10,,,
Candace DeCost,23,Waitress,"Hilton Head Island, SC",,1,10,,,
Catherine Warren,23,Former Miss Illinois,"Lake Forest, IL",,1,10,,,
Danielle Vallis,26,Attorney,"Bronx, NY",,1,10,,,
Jackie Topelli,23,Executive coordinator,"Minneapolis, MN",,1,10,,,
Jeanette Alvarez,27,Health care manager,"Tampa, FL",,1,10,,,
Jessica Devallo,32,Hedge fund analyst,"New York, NY",,1,10,,,
Linda Malek,33,Attorney,"Cuyahoga Falls, OH",,1,10,,,
Lindsay Smith,22,Student,"Lawrence, KS",,1,10,,,
Tiffany Forester,27,Real estate sales/development,"St. Louis Park, MN",,1,10,,,
Deanna Pappas,25,Realtor,"Newnan, Georgia",,8,11,,,
Jenni Croft,27,Phoenix Suns Cheerleader,"Wichita, Kansas",,8,11,,,
Bettina Bell,27,Realtor,"Washington, D.C.",,7,11,,,
Sheena Stewart,23,Internet marketing executive,"Walnut Creek, California",,6,11,,,
Hillary Reisinger,27,Registered nurse,"Philadelphia, Pennsylvania",,5,11,,,
Kristy Katzmann,29,Acupuncturist,"Gurnee, Illinois",,5,11,,,
"Estefania ""Stephy"" Kootz",26,Executive assistant,"Atlanta, Georgia",,4,11,,,
Jade Beazley,24,Boutique sales worker,"Nashville, Tennessee",,4,11,,,
McCarten Delaney,26,Account manager,"Lemon Grove, California",,4,11,,,
Lindsey Hawkins,25,Model,"Livonia, Michigan",,3,11,,,
Sarah Newlon,23,Bar manager,"O'Fallon, Illinois",,3,11,,,
Solisa Shoop,25,Esthetician,"Georgetown, Texas",,3,11,,,
Michele Leavy,30,Realtor,"South Brunswick, New Jersey",,2,11,,,
Mallory Simons,24,Nanny,"Honolulu, Hawaii",,2,11,,,
Erin Gardner,25,Publishing sales executive,"Tampa, Florida",,2,11,,,
Jessica Kiss,27,News anchor,"Lady Lake, Florida",,1,11,,,
Juli Gilliam,24,Law student,"Chicago, Illinois",,1,11,,,
Kim Orville,31,Realtor,"Woodbridge, Connecticut",,1,11,,,
Lori Langley,33,Biology teacher,"Annapolis, Maryland",,1,11,,,
Melissa Buschel,28,Event planner,"Westchester, New York",,1,11,,,
Morgan Becker,24,Graduate student,"Tempe, Arizona",,1,11,,,
Natalie Velasco,25,Law student,"Duncanville, Texas",,1,11,,,
Regina Doringa,31,Account representative,"San Diego, California",,1,11,,,
Tauni Nessler ,31,Emergency room nurse,"St. Louis Park, Minnesota",,1,11,,,
Susan Stein,35,Project analyst,"St. Charles, Illinois",,1,11,,,
Shayne Lamas,22,Actress,"Malibu, California",,,12,,,
Chelsea Wanstrath,25,Pharmaceutical sales rep.,"Durango, Colorado",,8,12,,,
Amanda Rantuccio,27,Account Executive,"Niceville, Florida",,7,12,,,
Noelle Drake,26,Photographer,"Loveland, Colorado",,6,12,,,
Marshana Ritchie,27,Fashion designer,"Brooklyn, New York",,5,12,,,
Robin Canfield,22,Advertising coordinator,"Holland, Michigan",,5,12,,,
Ashlee Williss,22,Singer-songwriter,"Jacksonville Beach, Florida",,4,12,,,
Kelly Duncan,25,Medical sales rep.,"Hollywood, California",,4,12,,,
Holly Durst,24,Children's book author,"Suffield, Ohio",,4,12,,,
Amy,22,Nanny,"Stockton, California",,3,12,,,
Erin Storm,33,Hot-dog vendor,"Venice, California",,3,12,,,
Kristine Heffelfinger,33,Personal trainer,"Dillsburg, Pennsylvania",,3,12,,,
Carri Perrier,25,Church marketing rep.,"Oklahoma City, Oklahoma",,2,12,,,
Erin Harper,25,Event planner,"Seattle, Washington",,2,12,,,
Michelle P.,28,Administrative assistant,"Syracuse, New York",,2,12,,,
Alyssa,24,Biology student,"Boise, Idaho",,1,12,,,
Amanda Petterman,26,Law student,"LaFollette, Tennessee",,1,12,,,
Denise,30,Attorney and former White House aide,"Washington, D.C",,1,12,,,
Devon,24,Makeup artist,"Austin, Texas",,1,12,,,
Lesley Geyer,23,Youth minister,"Tampa, Florida",,1,12,,,
Michele R.,33,Interior designer,"Laguna Niguel, California",,1,12,,,
Rebecca,30,Attorney,"Alamo, California",,1,12,,,
Stacey Elza,26,Graduate student,"Chicago, Illinois",,1,12,,,
Tamara,23,Cocktail waitress,"Beverly Hills, California",,1,12,,,
Tiffany,33,Real estate marketing rep.,"San Francisco, California",,1,12,,,
